Título do Livro,Autor,Quantidade de Páginas,Tempo de Leitura,Nota Média,Leram,Lendo,Querem,Relendo,Abandonos,Resenhas,Favoritos,Avaliaram
Precisamos Conversar - Como Ter Conversas Que Importam,Celeste Headlee,256 páginas,8h 32m,0,1,3,23,0,0,0,0,0
"Por que pessoas inteligentes cometem erros idiotas? - O que a Nasa, Thomas Edison, Benjamin Franklin e Daniel Kahneman nos ensinam sobre como tomar boas decisões",David Robson,336 páginas,11h 12m,3.9,113,46,771,0,13,20,7,84
Políticas educacionais e escola pública: Questões globais e desafios para as redes de ensino locais -,Susana Schneid Scherer,137 páginas,4h 34m,0,0,0,0,0,0,0,0,0
Pessoas altamente sensíveis - Como lidar com o excesso de estímulo emocionais e usar a sensibilidade a seu favor,Elaine N. Aron,320 páginas,10h 40m,4.1,676,458,3096,5,112,87,41,479
Perdas Necessárias -,Judith Viorst,320 páginas,10h 40m,4.1,1022,304,1772,15,92,60,3,578
Pele de homem -,Hubert,160 páginas,5h 20m,4.3,1336,13,1179,0,3,215,110,1120
"Patologia: Molecular, humana e experimental -",Renan Monteiro do Nascimento,97 páginas,3h 14m,0,0,0,1,0,0,0,0,0
Pássaro e Serpente (Pássaro e Serpente #1) -,Shelby Mahurin,504 páginas,16h 48m,4.2,21702,1131,17949,31,523,3083,263,17034
Os Três Porquinhos (livro + cenário pop-up + 4 personagens de madeira) (Era Uma Vez #2) - Um Conto de Fadas Clássico,Editora Melhoramentos,8 páginas,16m,4.3,9,4,10,0,0,0,0,4
Os percursos da botânica e suas descobertas (Volume #2) -,"Vanessa da Fontoura Custódio Monteiro, Pedro Henrique Abreu Moura",89 páginas,2h 58m,0,0,0,1,0,0,0,0,0
Os Garotos do Cemitério -,Aiden Thomas,350 páginas,11h 40m,4.4,11960,940,17369,28,592,2123,1771,10158
Oceano Entre Nós -,Tahereh Mafi,304 páginas,10h 8m,4.3,17633,619,16392,20,370,3318,2346,14722
O Preço da Vitória (Myron Bolitar #4) - Que riscos você correria para realizar seu maior sonho?,Harlan Coben,256 páginas,8h 32m,4.3,4029,55,2904,5,14,251,7,2381
O Hobbit anotado -,"J. R. R. Tolkien, Douglas A. Anderson",364 páginas,12h 8m,4.5,200464,13095,118225,759,4215,8092,90,96751
O grande Gatsby -,F. Scott Fitzgerald,208 páginas,6h 56m,4,50805,2821,43685,75,1151,4289,15,32048
O Grande Gatsby -,F. Scott Fitzgerald,224 páginas,7h 28m,4,50805,2821,43685,75,1151,4289,68,32048
O Gambito da Rainha -,Walter Tevis,304 páginas,10h 8m,4.3,2283,217,3526,4,85,375,198,1701
O Farol -,Emma Stonex,352 páginas,11h 44m,3.4,952,95,1898,1,62,204,32,762
O detector da verdade do FBI -,Jack Schafer,272 páginas,9h 4m,4.1,177,80,1257,1,21,21,10,115
O Clube de Xadrez da Morte -,JOHN DONOGHUE,336 páginas,11h 12m,4.3,218,29,1021,0,8,43,16,156
O cão dos Baskerville -,Arthur Conan Doyle,240 páginas,8h 0m,4.2,41887,845,7387,53,573,1017,1,22784
O auto da maga Josefa -,Paola Siviero,224 páginas,7h 28m,4.4,3058,117,2563,2,47,714,338,2677
Nossa parte de noite -,Mariana Enriquez,544 páginas,18h 8m,3.8,1261,202,2678,0,196,309,78,1063
Natureza Nojenta (Saber Horrível) -,Nick Arnold,160 páginas,5h 20m,4.1,126,17,151,0,2,3,0,73
"Não P*rra - Como Parar de Dizer sim Quando Você Não Pode, Não Deveria ou Simplesmente Não Quer",Sarah Knight,304 páginas,10h 8m,2.5,2,1,67,0,2,0,0,2
Mog - A gata esquecida,Judith Kerr,40 páginas,1h 20m,4.1,56,4,177,1,2,6,0,36
"Meta De Relacionamento - Como Ter o Melhor Namoro, Casamento e Sexo da Sua Vida",Michael Todd,208 páginas,6h 56m,0,1,2,32,0,0,0,0,0
Mentes Brilhantes - Como desenvolver todo o potencial do seu cérebro,Nicholas Boothman,208 páginas,6h 56m,3.4,1358,199,1846,5,97,55,2,818
Memórias do subsolo - Edição de luxo,Fiódor Dostoiévski,191 páginas,6h 22m,4.3,32140,6201,33680,149,1186,4273,27,21682
"Maria Montessori, Professora de uma Nova Era - A Mulher que Revolucionou a Educação",Laura Baldini,272 páginas,9h 4m,4.2,104,7,494,2,1,14,5,81
Malévola: O Coração da Rainha -,Holly Black,288 páginas,9h 36m,3.9,244,26,1179,0,18,37,5,171
M ou N? -,Agatha Christie,224 páginas,7h 28m,3.9,9535,246,5531,9,123,810,47,5454
"Linguística: Linguagem, línguas naturais e seus discursos -",Adaylson Wagner Sousa de Vasconcelos,386 páginas,12h 52m,0,0,0,2,0,0,0,0,0
Jogada Mortal (Myron Bolitar #2) -,Harlan Coben,256 páginas,8h 32m,4.3,6213,94,3610,5,40,390,16,3685
Irene -,Pierre Lemaitre,368 páginas,12h 16m,4,674,36,962,1,40,123,5,538
Interação parasito-hospedeiro -,Renan Monteiro do Nascimento,77 páginas,2h 34m,0,0,0,2,0,0,0,0,0
Inovação e gênero: Em busca de um mundo inclusivo -,Vanessa Ribeiro Simon Cavalcanti,140 páginas,4h 40m,0,0,0,0,0,0,0,0,0
Infectologia e medicina tropical -,Renan Monteiro do Nascimento,110 páginas,3h 40m,0,0,0,1,0,0,0,0,0
História: Consensos e dissensos engendrados -,"Denise Pereira, Janaína de Paula do Espírito Santo",302 páginas,10h 4m,0,0,0,1,0,0,0,0,0
"Genética: Molecular, humana e médica -",Renan Monteiro do Nascimento,126 páginas,4h 12m,5,0,0,7,0,0,1,0,1
Fique Comigo - Quando menos se espera o sonho pode virar pesadelo,Harlan Coben,288 páginas,9h 36m,4.2,5829,157,4198,10,66,485,19,3636
Filosofia para quem não é filósofo -,Peter Gibson,256 páginas,8h 32m,3.5,54,19,394,1,8,10,0,41
Expiração -,Ted Chiang,416 páginas,13h 52m,4,638,104,1135,0,48,95,47,508
"Enfermagem: Assistência, gestão e políticas públicas em saúde (Volume #2) -",CAROLINA CARBONELL DEMORI,287 páginas,9h 34m,5,1,0,1,0,0,0,0,1
"Enfermagem: Assistência, gestão e políticas públicas em saúde (Volume #3) -",CAROLINA CARBONELL DEMORI,103 páginas,3h 26m,5,1,0,1,0,0,0,0,1
"Enfermagem: Assistência, gestão e políticas públicas em saúde (Volume #4) -",CAROLINA CARBONELL DEMORI,381 páginas,12h 42m,5,2,0,1,0,0,1,0,2
Em Defesa da Sociedade Aberta -,George Soros,192 páginas,6h 24m,3.5,22,1,112,0,1,4,1,15
Ecologia e conservação da biodiversidade -,Renan Monteiro do Nascimento,176 páginas,5h 52m,0,0,0,1,0,0,0,0,0
"Cure Seu Cérebro - Apenas 1 Hora por Semana para Memória, Produtividade e Sono Melhores",Dr. Tom O’Bryan,416 páginas,13h 52m,5,0,1,29,0,0,0,0,1
Convite para um homicídio -,Agatha Christie,272 páginas,9h 4m,4.1,24602,1317,13815,23,702,2255,188,15317
Conteúdo conceitual e aspectos práticos da ciência da computação (Volume #2) -,Ernane Rosa Martins,115 páginas,3h 50m,0,0,0,0,0,0,0,0,0
Conceitos e conhecimentos de métodos e técnicas de pesquisa científica em engenharia florestal (Volume #2) - e-book,Cristina Aledi Felsemburgh,155 páginas,5h 10m,0,0,0,0,0,0,0,0,0
Como Ser um Rockstar -,Guga Mafra,256 páginas,8h 32m,4.4,495,37,402,3,21,81,25,382
Como se tornar inesquecível -,Dale Carnegie,224 páginas,7h 28m,3.9,395,131,1672,6,23,30,5,251
Engenharia química (Coleção desafios das engenharias) -,Cleiseano Emanuel da Silva Paniagua,206 páginas,6h 52m,0,0,0,1,0,0,0,0,0
Engenharia elétrica (Coleção desafios das engenharias) -,Lilian Coelho de Freitas,188 páginas,6h 16m,0,0,0,9,0,0,0,0,0
Engenharia mecânica (Coleção desafios das engenharias) -,João Dallamuta,225 páginas,7h 30m,0,0,0,4,0,0,0,0,0
Engenharia biomédica (Coleção desafios das engenharias) -,Claudiane Ayres,115 páginas,3h 50m,0,0,0,0,0,0,0,0,0
Engenharia civil (Coleção desafios das engenharias) -,Carlos Augusto Zilli,293 páginas,9h 46m,0,0,0,4,0,0,0,0,0
Coleção desafios das engenharias: Engenharia civil (Volume #2) -,Carlos Augusto Zilli,259 páginas,8h 38m,0,0,0,1,0,0,0,0,0
Engenharia de transportes (Coleção desafios das engenharias) -,Carlos Eduardo Sanches de Andrade,82 páginas,2h 44m,0,0,0,2,0,0,0,0,0
Engenharia de materiais e metalúrgica (Coleção desafios das engenharias) -,"Henrique Ajuz Holzmann, João Dallamuta",108 páginas,3h 36m,0,0,0,0,0,0,0,0,0
Engenharia sanitária (Coleção desafios das engenharias) -,Cleiseano Emanuel da Silva Paniagua,242 páginas,8h 4m,0,0,0,0,0,0,0,0,0
"Ciências médicas: Campo teórico, métodos, aplicabilidade e limitações (Volume #3) -",Benedito Rodrigues da Silva Neto,214 páginas,7h 8m,0,0,0,1,0,0,0,0,0
"Ciências médicas: Campo teórico, métodos, aplicabilidade e limitações (Volume #4) -",Benedito Rodrigues da Silva Neto,171 páginas,5h 42m,0,0,0,2,0,0,0,0,0
"Ciências médicas: Campo teórico, métodos, aplicabilidade e limitações -",Benedito Rodrigues da Silva Neto,257 páginas,8h 34m,0,0,0,1,0,0,0,0,0
"Ciências médicas: Campo teórico, métodos, aplicabilidade e limitações (Volume #2) -",Benedito Rodrigues da Silva Neto,206 páginas,6h 52m,0,0,0,2,0,0,0,0,0
Ciências humanas: Uma nova interpretação para um conceito comum -,Aline Ferreira Antunes,288 páginas,9h 36m,0,0,0,1,0,0,0,0,0
Ciências exatas e da terra: Conhecimentos estratégicos para o desenvolvimento do país (Volume #2) -,Francisco Odécio Sales,191 páginas,6h 22m,0,0,0,0,0,0,0,0,0
"Ciências da saúde: Influências sociais, políticas, institucionais e ideológicas -",Luis Henrique Almeida Castro,239 páginas,7h 58m,0,0,0,0,0,0,0,0,0
"Ciências da Saúde: Influências sociais, políticas, institucionais e ideológicas (Volume #3) -",Luis Henrique Almeida Castro,258 páginas,8h 36m,0,0,0,0,0,0,0,0,0
"Ciências da saúde: Influências sociais, políticas, institucionais e ideológicas (Volume #2) -",Luis Henrique Almeida Castro,243 páginas,8h 6m,0,0,0,0,0,0,0,0,0
Ciências biológicas: Realidades e virtualidades (Volume #2) -,Edson da Silva,224 páginas,7h 28m,0,0,0,6,0,0,0,0,0
"Chamado Criativo - Estabeleça uma prática diária, encha seu mundo de significado e alcance o sucesso no trabalho e na vida pessoal.",Chase Jarvis,304 páginas,10h 8m,3.5,3,3,29,0,2,0,1,2
Brilhante (Damas Rebeldes #2) - A História de Belle,Julia Quinn,320 páginas,10h 40m,3.8,4290,122,2549,3,65,506,97,2943
"Box Os Rokesbys: a origem dos Bridgertons - Antes dos irmãos Bridgertons, havia os Rokesbys",Julia Quinn,1136 páginas,1d 13h 52m,4.5,528,20,427,1,2,15,5,250
Blonde -,Joyce Carol Oates,416 páginas,13h 52m,4,223,11,609,0,6,28,11,177
Biblioteca Gaiman (Volume 1) -,Neil Gaiman,288 páginas,9h 36m,4.1,1906,122,1375,0,28,329,80,1560
Aurora Ascende (Ciclo Aurora #1) - Eles não são os heróis que gostaríamos. São apenas os que conseguimos encontrar,"Amie Kaufman, Jay Kristoff",368 páginas,12h 16m,4.3,4743,376,8557,10,285,824,587,3958
Aspectos e impactos ambientais: O que geram as atividades do homem? - e-book,"Clécio Danilo Dias da Silva, Emili Caroline de Abreu Rolim",200 páginas,6h 40m,0,0,0,0,0,0,0,0,0
As Verdades que Nos Movem -,Kamala Harris,32 páginas,1h 4m,3.8,81,17,371,0,8,13,0,60
Arsène Lupin: O ladrão de casaca (As extraordinárias aventuras de Arsène Lupin) -,Maurice Leblanc,224 páginas,7h 28m,4.1,93,20,378,0,3,15,5,59
As Crônicas de Pai -,Leo Aversa,352 páginas,11h 44m,4.1,334,50,365,0,10,78,24,280
"Arquitetura e urbanismo: Patrimônio, sustentabilidade e tecnologia (Volume #2) -",Jeanine Mafra Migliorini,339 páginas,11h 18m,0,0,0,1,0,0,0,0,0
Amigos da Floresta Encantada (Esconde & Acha) - Revele animais escondidos com sua lanterna mágica!,Igloo Books,10 páginas,20m,5,3,4,103,0,0,0,0,2
"Administração: Organização, direção e controle da atividade organizacional (Volume #3) -",Elói Martins Senhoras,256 páginas,8h 32m,0,0,0,6,0,0,0,0,0
A revolta de Atlas - Edição Luxo,Ayn Rand,1504 páginas,2d 2h 8m,4.3,5181,1206,8563,16,338,302,22,3467
A Promessa (Myron Bolitar #8) - E se a vida de alguém dependesse da sua palavra?,Harlan Coben,352 páginas,11h 44m,4.2,3682,83,6129,6,28,278,10,2323
A porta -,Magda Szabó,256 páginas,8h 32m,4.1,856,41,1418,3,33,150,54,692
A (não)efetividade das ciências jurídicas no Brasil (Volume #3) -,Adaylson Wagner Sousa de Vasconcelos,277 páginas,9h 14m,0,0,0,1,0,0,0,0,0
A ilha do tesouro -,Robert Louis Stevenson,256 páginas,8h 32m,3.6,16923,1045,8032,59,808,1146,13,10655
A História da Filosofia para Quem Tem Pressa (Para quem tem pressa #1) - Dos pré-socráticos aos  tempos modernos em 200 páginas,Lesley Levene,200 páginas,6h 40m,3.7,432,97,1242,1,27,71,6,289
A garota que não se calou -,Abi Daré,352 páginas,11h 44m,4.4,3470,146,3004,0,78,729,67,2851
A fazenda dos animais -,George Orwell,160 páginas,5h 20m,4.3,408406,15564,160922,552,4871,22656,2,186475
A era da ansiedade -,Pete Townshend,304 páginas,10h 8m,3.8,16,8,265,0,4,4,1,14
A educação em verso e reverso: Dos aportes normativos aos aspectos operacionais (Volume #3) -,Américo Junior Nunes da Silva,293 páginas,9h 46m,0,1,0,2,0,0,0,0,0
A educação em verso e reverso: Dos aportes normativos aos aspectos operacionais (Volume #5) -,Américo Junior Nunes da Silva,325 páginas,10h 50m,0,0,0,0,0,0,0,0,0
A educação em verso e reverso: Dos aportes normativos aos aspectos operacionais (Volume #4) -,Américo Junior Nunes da Silva,303 páginas,10h 6m,0,0,0,0,0,0,0,0,0
A educação em verso e reverso: Dos aportes normativos aos aspectos operacionais -,Américo Junior Nunes da Silva,331 páginas,11h 2m,0,0,0,0,0,0,0,0,0
A educação em verso e reverso: Dos aportes normativos aos aspectos operacionais (Volume #2) -,Américo Junior Nunes da Silva,318 páginas,10h 36m,0,0,0,0,0,0,0,0,0
A China Venceu? - O desafio chinês à supremacia americana,Kishore Mahbubani,368 páginas,12h 16m,4.2,91,22,362,1,5,20,2,60
A caçadora -,Kate Quinn,588 páginas,19h 36m,4.3,389,39,751,0,9,74,32,322
A Ascensão da Rainha (A Ascensão da Rainha #1) - Ele escolheu a traição. Ela escolheu a vingança.,Rebecca Ross,378 páginas,12h 36m,3.9,976,50,2627,2,43,159,53,769
Lendários (Lendários #1) -,Tracy Deonn,592 páginas,19h 44m,4.5,9871,1214,23814,52,751,1834,656,8246
Fobia - Enfrentando Com Coragem,Nataly Martinelli,224 páginas,7h 28m,4.8,13,2,26,0,0,5,0,9
A arte de caminhar -,Thich Nhat Hanh,120 páginas,4h 0m,3.6,166,7,422,1,3,28,5,123
MBA Visual - Dois anos de formacao em negocios resumidos em imagens e textos brilhantes,Jason Barron,208 páginas,6h 56m,3.8,46,15,164,1,1,6,2,27
W: Valéria e Valentina -,"Isaac Rosa, Olivia Rosa",176 páginas,5h 52m,3.3,134,17,1114,0,13,27,5,108
Vivendo Sem Mesada - Jovens no Controle de Suas Finanças,"Bruno Vinicius Rocha, Eliane Costa, Sônia Maria de Souza",224 páginas,7h 28m,0,2,0,13,0,0,0,0,0
Um dia de Cão -,Rob Biddulph,32 páginas,1h 4m,4.2,96,5,131,4,0,19,3,78
Todos são bem-vindos -,Alexandra Penfold,44 páginas,1h 28m,4.4,13,2,59,2,0,0,2,7
Temas em fisioterapia e terapia ocupacional: Pesquisa e desafios -,Tassiane Maria Alves Pereira,186 páginas,6h 12m,0,0,0,0,0,0,0,0,0
Temas em fisioterapia e terapia ocupacional: Pesquisa e desafios (Volume #2) -,Tassiane Maria Alves Pereira,220 páginas,7h 20m,0,0,0,1,0,0,0,0,0
Sustentabilidade: Produção científica e inovação tecnológica -,Maria Elanny Damasceno Silva,104 páginas,3h 28m,0,0,0,0,0,0,0,0,0
Subterrâneo: Ascensão (Subterrâneo: Ascensão #1) -,Anne C Beker,320 páginas,10h 40m,4.2,90,5,149,0,5,66,5,101
Socando o ar -,"Ibi Zoboi, Yusef Salaam",400 páginas,13h 20m,4.4,336,17,1112,2,14,79,43,293
Sobre amor e estrelas e muita intensidade -,Leo Oliveira,208 páginas,6h 56m,3.7,117,11,491,0,8,30,4,102
Simone de Beauvoir - a biografia,Huguette Bouchardeau,336 páginas,11h 12m,3.7,26,6,311,0,0,1,2,15
Serviços e cuidados em saúde (Volume #2) -,Francisca de Fátima dos Santos Freire,233 páginas,7h 46m,0,0,0,0,0,0,0,0,0
Serviços e cuidados em saúde -,Francisca de Fátima dos Santos Freire,251 páginas,8h 22m,0,0,0,0,0,0,0,0,0
"Sem limites - Aprimore seu cérebro, aprenda mais rápido e descubra uma vida excepcional",Jim Kwik,320 páginas,10h 40m,4.2,165,55,380,1,8,16,10,111
Reino transcendente -,Yaa Gyasi,320 páginas,10h 40m,4.1,98,13,410,1,2,12,4,81
Quando te vejo -,Holly Miller,384 páginas,12h 48m,4.1,3469,320,5507,5,151,783,353,2857
Princesas (Destaque & Brinque #1) - Destaque & Brinque,"Editora Melhoramentos, Disney Enterprises",24 páginas,48m,3.4,10,9,124,3,2,0,2,4
Pluralidade de Temas e Aportes Teórico-Metodológicos na Pesquisa em História -,Aline Ferreira Antunes,201 páginas,6h 42m,0,0,0,0,0,0,0,0,0
Persuasão -,Jane Austen,240 páginas,8h 0m,4.2,45857,3415,38607,117,1983,4680,33,30272
Pânico -,Lauren Oliver,336 páginas,11h 12m,3.3,1128,87,1821,0,96,209,2,893
Os Pergaminhos Vermelhos da Magia (As Maldições Ancestrais #01) - Edição de colecionador,"Cassandra Clara,Wesley Chu",294 páginas,9h 48m,4.3,5643,297,7173,5,86,781,94,4411
Os 7 pilares da saúde alimentar - Aprenda a resgatar uma relação saudável com a comida e o corpo por meio da mudança de hábitos,Sophie Deram,192 páginas,6h 24m,4,189,43,386,0,6,23,5,140
Orgulho e preconceito -,Jane Austen,456 páginas,15h 12m,4.5,190310,19093,126435,1062,10921,13554,743,116329
Oceano Sem Lei -,Ian Urbina,592 páginas,19h 44m,4.5,83,20,220,0,10,15,7,64
O Serviço de Entregas Monstruosas - Ilustrado por Felipe Nero Cunha,Jim Anotsu,416 páginas,13h 52m,4.2,645,98,1065,3,57,122,69,545
O morro dos ventos uivantes -,Emily Brontë,352 páginas,11h 44m,4,206995,19335,149428,1022,15590,14391,26,101028
O Morro dos Ventos Uivantes - Edição de Luxo - Capa Dura,Emily Bronte,368 páginas,12h 16m,4,206948,19332,149398,1023,15589,14391,70,100996
O Lorde Que Eu Abandonei (Os Segredos De Charlotte Street #3) -,Scarlett Peckham,288 páginas,9h 36m,3.7,1160,29,1099,3,23,195,57,909
O livro das virtudes para crianças -,William J. Bennett,163 páginas,5h 26m,4.4,1552,74,662,3,7,54,11,817
O Jogo da Sedução - Cinco segredos para dominar a arte da conquista e conseguir tudo o que você quer,Shan Boodram,304 páginas,10h 8m,1,0,2,62,0,0,0,0,1
O homem mais rico da Babilônia -,George S. Clason,176 páginas,5h 52m,4.3,23536,2653,11963,95,477,1949,20,15533
O Fortalecimento Intensivo das Ciências Biológicas e suas Interfaces (Volume #2) -,Daniela Reis Joaquim de Freitas,288 páginas,9h 36m,0,0,0,1,0,0,0,0,0
O clube do crime das quintas-feiras (O Clube do Crime das Quintas-Feiras #1) -,Richard Osman,400 páginas,13h 20m,3.9,14034,1858,16898,15,1231,3041,530,11460
O Chamado do Falcão (O Sonhador #1) -,Maggie Stiefvater,476 páginas,15h 52m,4.2,1081,156,2827,4,71,190,12,893
No caminho do amor de redenção - Uma jornada de 40 dias rumo ao amor redentor de Deus,Francine Rivers,256 páginas,8h 32m,4.7,12040,826,6137,49,243,1971,25,9218
Meu destino é pecar -,Nelson Rodrigues,496 páginas,16h 32m,4,752,54,860,6,41,48,6,427
"Memória, cultura e sociedade -","Joaquim dos Santos, José Italo Bezerra Viana",317 páginas,10h 34m,5,1,0,1,0,0,0,0,1
Meio ambiente: Questões éticas x progresso tecnológico -,"Juliana Thaisa Rodrigues Pacheco, Mauricio Zadra Pacheco",356 páginas,11h 52m,0,1,0,0,0,0,0,0,0
"Medicina: Progresso científico, tecnológico, econômico e social do país (Volume #3) -",Benedito Rodrigues da Silva Neto,269 páginas,8h 58m,0,0,0,0,0,0,0,0,0
"Medicina: Progresso científico, tecnológico, econômico e social do país -",Benedito Rodrigues da Silva Neto,255 páginas,8h 30m,0,0,0,1,0,0,0,0,0
"Medicina: Progresso científico, tecnológico, econômico e social do país (Volume #2) -",Benedito Rodrigues da Silva Neto,234 páginas,7h 48m,0,0,0,1,0,0,0,0,0
"Medicina: Progresso científico, tecnológico, econômico e social do país (Volume #4) -",Benedito Rodrigues da Silva Neto,278 páginas,9h 16m,0,0,0,1,0,0,0,0,0
Manual para Super-Heróis (Olho vivo no Planeta) - O início da revolução sustentável,Laila Zaid,112 páginas,3h 44m,4.5,17,2,120,1,0,5,1,12
Maneiras de amar - Como a ciência do apego adulto pode ajudar você a encontrar e manter o amor,"Rachel Heller, Dr. Amir Levine",272 páginas,9h 4m,4.2,320,95,492,1,13,39,15,218
"Letras: Representações, construções e textualidades (Volume #2) -",Adaylson Wagner Sousa de Vasconcelos,257 páginas,8h 34m,0,0,0,2,0,0,0,0,0
"Letras: Representações, construções e textualidades -",Adaylson Wagner Sousa de Vasconcelos,238 páginas,7h 56m,0,0,0,3,0,0,0,0,0
Irmão do Jorel: Livro Fenomenal -,Irmão do Jorel,192 páginas,6h 24m,4.4,1026,119,953,9,28,180,80,767
Herança -,Miguel Bonnefoy,192 páginas,6h 24m,4,490,22,903,1,9,68,14,386
Geociências: A história da terra -,Luis Ricardo Fernandes da Costa,232 páginas,7h 44m,0,0,0,5,0,1,0,0,0
Garota A -,Abigail Dean,280 páginas,9h 20m,3.2,196,19,324,0,19,39,4,155
Ganhando tração - Assuma o controle da sua empresa,Gino Wickman,240 páginas,8h 0m,3.9,24,16,161,0,2,3,1,18
Frozen às avessas - E se Anna e Elsa nunca tivessem se conhecido?,"Jen Calonita, Josh Gad",336 páginas,11h 12m,4,224,37,1134,3,9,37,15,161
Formação interdisciplinar das ciências exatas: Conhecimentos e pesquisas -,Francisco Odécio Sales,133 páginas,4h 26m,0,0,0,0,0,0,0,0,0
Física: O Universo e os Fenômenos Naturais (Volume #2) -,Sabrina Passoni Maravieski,90 páginas,3h 0m,0,0,0,1,0,0,0,0,0
O Canibal de Nine Elms (Kate Marshall #1) -,Robert Bryndza,352 páginas,11h 44m,4,2287,127,2399,3,64,443,71,1887
Farmácia e suas interfaces com vários saberes (Volume #2) -,Débora Luana Ribeiro Pessoa,234 páginas,7h 48m,0,0,0,0,0,0,0,0,0
Eu devia estar sonhando -,Michel Bussi,384 páginas,12h 48m,3.1,614,46,936,0,59,143,17,487
Era uma vez em Hollywood - O novo livro baseado no filme.,Quentin Tarantino,560 páginas,18h 40m,3.7,1521,213,2834,1,199,326,74,1210
"Epidemiologia, diagnóstico e intervenções em odontologia (Volume #2) - e-book",Vivian Chiada Mainieri Henkin,192 páginas,6h 24m,0,0,0,0,0,0,0,0,0
"Epidemiologia, diagnóstico e intervenções em odontologia (Volume #3) - e-book",Vivian Chiada Mainieri Henkin,182 páginas,6h 4m,0,0,0,3,0,0,0,0,0
"Epidemiologia, diagnóstico e intervenções em odontologia - e-book",Emanuela Carla dos Santos,287 páginas,9h 34m,0,0,0,0,0,0,0,0,0
"Enlace Sombrio (Hades Hangmen #5,5) -",Tillie Cole,88 páginas,2h 56m,3.9,1132,27,928,1,2,128,23,823
"Engenharia mecânica: A influência de máquinas, ferramentas e motores no cotidiano do homem (Volume #2) -","Henrique Ajuz Holzmann, João Dallamuta",328 páginas,10h 56m,0,0,0,0,0,0,0,0,0
Engenharia elétrica: Desenvolvimento e inovação tecnológica (Volume #2) -,"João Dallamuta, Henrique Ajuz Holzmann",197 páginas,6h 34m,0,0,0,0,0,0,0,0,0
Engenharia civil: Componentes sociais e ambientais e o crescimento autossustentado -,Helenton Carlos da Silva,203 páginas,6h 46m,0,0,0,1,0,0,0,0,0
Descender: Lua Mecânica (Descender #2) -,Jeff Lemire,128 páginas,4h 16m,4.2,367,8,364,1,1,50,15,295
Desafios e impactos das ciências agrárias no Brasil e no mundo (Volume #2) -,"Raissa Rachel Salustriano da Silva-Matos, Jane Mello Lopes, Taciella Fernandes Silva",246 páginas,8h 12m,0,0,0,2,0,0,0,0,0
Desafios e impacto das engenharias no Brasil e no mundo -,Carlos Augusto Zilli,212 páginas,7h 4m,0,0,0,0,0,0,0,0,0
"De repente, esclerosei - Um faz de conta de verdade",Marina Mafra,316 páginas,10h 32m,4.4,539,29,378,2,8,114,21,473
Crepúsculo dos ídolos (Coleção: Clássicos de ouro) -,Friedrich Nietzsche,136 páginas,4h 32m,4.1,6168,771,4166,43,227,256,2,3380
"Corte de Chamas Prateadas (Corte de Espinhos e Rosas #4) - Tudo o que lhe fora roubado, ela tomaria de volta.",Sarah J. Maas,714 páginas,23h 48m,4.3,95055,5215,49519,225,2127,11309,7754,61303
Consciência e atividade: Categorias fundamentais da psicologia -,Ezequiel Martins Ferreira,202 páginas,6h 44m,0,0,0,1,0,0,0,0,0
Consciência e atividade: Categorias fundamentais da psicologia (Volume #2) -,Ezequiel Martins Ferreira,206 páginas,6h 52m,0,0,0,1,0,0,0,0,0
"Conclave (Devil's Night #3,5) -",Penelope Douglas,92 páginas,3h 4m,3.8,15546,190,4165,11,69,1257,277,10536
Com qual penteado eu vou? -,Kiusam de Oliveira,48 páginas,1h 36m,4.4,138,17,393,3,1,24,10,100
Ciências sociais aplicadas: Desafios metodológicos e resultados empíricos -,Luciana Pavowski Franco Silvestre,385 páginas,12h 50m,0,0,0,1,0,0,0,0,0
"Ciências jurídicas: Fundamentação, participação e efetividade -",Adaylson Wagner Sousa de Vasconcelos,369 páginas,12h 18m,0,0,0,1,0,0,0,0,0
"Ciências jurídicas: Fundamentação, participação e efetividade (Volume #2) -",Adaylson Wagner Sousa de Vasconcelos,362 páginas,12h 4m,0,0,0,1,0,0,0,0,0
Ciências humanas: Caráter polissêmico e projeção interdisciplinar -,"Vanessa Ribeiro Simon Cavalcanti, Antonio Carlos da Silva",234 páginas,7h 48m,0,0,0,0,0,0,0,0,0
Ciências da comunicação: Chave para a ascensão em organizações e relacionamentos -,Edwaldo Costa,207 páginas,6h 54m,0,0,0,1,0,0,0,0,0
"Ciência, tecnologia e inovação: A nova produção do conhecimento (Volume #2) -",Cleiseano Emanuel da Silva Paniagua,362 páginas,12h 4m,5,1,0,0,0,0,0,0,1
Ciência política: Poder e establishment (Volume #2) -,Elói Martins Senhoras,274 páginas,9h 8m,0,0,0,0,0,0,0,0,0
Chapeuzinho Vermelho (Era Uma Vez #1) - Um Conto de Fadas Clássico (livro + cenário pop-up + 4 personagens de madeira),Editora Melhoramentos,8 páginas,16m,3.3,9,0,11,0,0,0,1,3
Capitalismo contemporâneo e políticas educacionais (Volume #3) -,"Américo Junior Nunes da Silva, André Ricardo Lucas Vieira, Ilvanete dos Santos de Souza",277 páginas,9h 14m,0,0,0,1,0,0,0,0,0
Capitalismo contemporâneo e políticas educacionais (Volume #4) -,"Américo Junior Nunes da Silva, André Ricardo Lucas Vieira, Ilvanete dos Santos de Souza",323 páginas,10h 46m,0,0,0,0,0,0,0,0,0
